Date,App_Name,Category,Minutes_Used
2026-07-18,TikTok,Social Media,67
2026-07-18,Netflix,Entertainment,51
2026-07-18,YouTube,Entertainment,71
2026-07-18,Instagram,Social Media,93
2026-07-19,Instagram,Social Media,49
2026-07-19,Duolingo,Education,26
2026-07-19,Coursera,Education,53
2026-07-19,Netflix,Entertainment,74
2026-07-19,YouTube,Entertainment,43
2026-07-20,TikTok,Social Media,68
2026-07-20,Instagram,Social Media,43
2026-07-20,YouTube,Entertainment,43
2026-07-20,Duolingo,Education,33
2026-07-21,Duolingo,Education,5
2026-07-21,YouTube,Entertainment,11
2026-07-21,VS Code,Coding,21
2026-07-21,Instagram,Social Media,29
2026-07-22,Coursera,Education,34
2026-07-22,Netflix,Entertainment,32
2026-07-22,TikTok,Social Media,19
2026-07-22,VS Code,Coding,51
2026-07-22,Instagram,Social Media,49
2026-07-22,YouTube,Entertainment,56
2026-07-22,X (Twitter),Social Media,19
2026-07-23,X (Twitter),Social Media,41
2026-07-23,YouTube,Entertainment,57
2026-07-23,Spotify,Entertainment,26
2026-07-23,TikTok,Social Media,64
2026-07-23,VS Code,Coding,20
2026-07-23,Duolingo,Education,25
2026-07-24,Spotify,Entertainment,39
2026-07-24,Coursera,Education,57
2026-07-24,Netflix,Entertainment,54
2026-07-24,VS Code,Coding,14
2026-07-25,GitHub,Coding,42
2026-07-25,Duolingo,Education,11
2026-07-25,Instagram,Social Media,60
2026-07-25,YouTube,Entertainment,6
2026-07-26,Duolingo,Education,10
2026-07-26,Netflix,Entertainment,59
2026-07-26,Spotify,Entertainment,73
2026-07-26,Coursera,Education,32
2026-07-27,Instagram,Social Media,52
2026-07-27,TikTok,Social Media,47
2026-07-27,YouTube,Entertainment,18
2026-07-27,VS Code,Coding,19
2026-07-27,X (Twitter),Social Media,43
2026-07-28,YouTube,Entertainment,81
2026-07-28,Instagram,Social Media,63
2026-07-28,VS Code,Coding,5
2026-07-28,X (Twitter),Social Media,63
2026-07-29,Spotify,Entertainment,45
2026-07-29,X (Twitter),Social Media,38
2026-07-29,Coursera,Education,39
2026-07-29,Duolingo,Education,45
2026-07-29,Instagram,Social Media,78
2026-07-29,VS Code,Coding,17
2026-07-29,TikTok,Social Media,47
2026-07-30,Duolingo,Education,34
2026-07-30,YouTube,Entertainment,79
2026-07-30,X (Twitter),Social Media,43
2026-07-30,Coursera,Education,27
2026-07-30,VS Code,Coding,13
2026-07-31,Duolingo,Education,12
2026-07-31,YouTube,Entertainment,75
2026-07-31,Spotify,Entertainment,88
2026-07-31,VS Code,Coding,28
2026-07-31,TikTok,Social Media,80
2026-07-31,Instagram,Social Media,64
2026-08-01,Instagram,Social Media,60
2026-08-01,YouTube,Entertainment,30
2026-08-01,Spotify,Entertainment,60
2026-08-01,VS Code,Coding,600
2026-08-01,Duolingo,Education,300
